# format_version: 1;
# system_name: Nexus;
# date_time: 2021-06-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: LIDAR_2020;
# project_version: 0;
Unix time;BlackTC_110m_HWS_hub;BluePO_110m_HWS_hub;GreenPO_110m_HWS_hub;BlackTC_110m_HWS_hub_availability;BluePO_110m_HWS_hub_availability;GreenPO_110m_HWS_hub_availability;
-;600 s;600 s;600 s;600 s;600 s;600 s;
-;;;;;;;
1623663600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623664200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623664800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623665400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623666000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623666600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623667200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623667800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623668400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623669000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623669600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623670200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623670800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623671400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623672000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623672600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623673200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623673800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623674400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623675000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623675600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623676200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623676800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623677400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623678000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623678600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623679200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623679800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623680400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623681000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623681600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623682200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623682800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623683400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623684000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623684600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623685200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623685800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623686400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623687000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623687600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623688200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623688800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623689400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623690000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623690600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623691200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623691800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623692400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623693000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623693600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623694200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623694800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623695400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623696000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623696600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623697200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623697800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623698400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623699000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623699600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623700200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623700800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623701400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623702000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623702600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623703200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623703800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623704400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623705000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623705600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
