# format_version: 1;
# system_name: Nexus;
# date_time: 2021-01-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: ISPIN;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;SaDataValid;WS_free_avg;DataOK;
-;600 s;600 s;600 s;
-;-;m/s;-;
1610554200.00000;1;16.55;0;
1610554800.00000;1;15.25;0;
1610555400.00000;1;12.89;0;
1610556000.00000;1;13.24;0;
1610556600.00000;1;12.9;0;
1610557200.00000;1;12.63;0;
1610557800.00000;1;13.37;0;
1610558400.00000;1;12.05;0;
1610559000.00000;1;11.7;0;
1610559600.00000;1;12.74;0;
1610560200.00000;1;13.05;0;
1610560800.00000;1;12.71;0;
1610561400.00000;1;12.1;0;
1610562000.00000;1;12.29;0;
1610562600.00000;1;12.87;0;
1610563200.00000;1;12.77;0;
1610563800.00000;1;12.59;0;
1610564400.00000;1;12.19;0;
1610565000.00000;1;11.5;0;
1610565600.00000;1;11.07;0;
1610566200.00000;1;11.04;0;
1610566800.00000;0;12.91;0;
1610567400.00000;1;13.02;0;
1610568000.00000;1;12.66;0;
1610568600.00000;1;12.81;0;
1610569200.00000;1;11.52;0;
1610569800.00000;1;11.67;0;
1610570400.00000;1;12.5;0;
1610571000.00000;1;11.3;0;
1610571600.00000;1;12.62;0;
1610572200.00000;1;12.18;0;
1610572800.00000;1;12.15;0;
1610573400.00000;1;13.18;0;
1610574000.00000;1;13.65;0;
1610574600.00000;1;11.25;0;
1610575200.00000;1;13.48;0;
1610575800.00000;1;13.73;0;
1610576400.00000;1;14.25;0;
1610577000.00000;1;12.82;0;
1610577600.00000;1;12.69;0;
1610578200.00000;1;13.39;0;
1610578800.00000;1;13.4;0;
1610579400.00000;1;13.79;0;
1610580000.00000;1;14.09;0;
1610580600.00000;1;12.8;0;
1610581200.00000;1;12.03;0;
1610581800.00000;1;12.88;0;
1610582400.00000;1;12.82;0;
1610583000.00000;1;12.57;0;
1610583600.00000;1;12.19;0;
1610584200.00000;1;12.01;0;
1610584800.00000;1;11.61;0;
1610585400.00000;1;11.58;0;
1610586000.00000;1;11.38;0;
1610586600.00000;1;11.48;0;
1610587200.00000;1;12.28;0;
1610587800.00000;1;11.82;0;
1610588400.00000;1;11.28;0;
1610589000.00000;1;11.15;0;
1610589600.00000;1;11.28;0;
1610590200.00000;1;10.92;0;
1610590800.00000;1;11.64;0;
1610591400.00000;1;11.35;0;
1610592000.00000;1;10.59;0;
1610592600.00000;1;10.71;0;
1610593200.00000;1;10.42;0;
1610593800.00000;1;10.54;0;
1610594400.00000;1;11.23;0;
1610595000.00000;1;10.59;0;
1610595600.00000;1;11.36;0;
